iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3,tpd_particle_4,tpd_particle_5
1,21.25,19.44,18.25,23.91,17.45
2,24.1,29.02,20.58,18.17,17.45
3,16.42,27.12,17.32,24.18,17.04
4,16.42,21.44,22.34,17.37,22.34
5,16.42,22.77,16.42,22.3,17.04
6,16.42,23.65,16.42,22.3,21.77
7,16.42,22.3,16.42,17.45,21.77
8,16.42,23.65,16.42,22.19,16.97
9,16.42,18.79,16.42,22.75,16.92
10,16.42,18.79,16.42,22.34,16.42
11,16.42,22.28,16.42,22.34,16.42
12,16.42,27.12,16.42,22.34,16.42
13,16.42,18.92,16.42,16.92,16.42
14,16.42,18.92,16.42,16.42,16.42
15,16.42,18.3,16.42,16.42,16.42
16,16.42,22.39,16.42,16.42,16.42
17,16.42,21.56,16.42,16.42,16.42
18,16.42,21.56,16.42,16.42,16.42
19,16.42,18.78,16.42,16.42,16.42
20,16.42,17.93,16.42,16.42,16.42
21,16.42,18.81,16.42,16.42,16.42
22,16.42,17.46,16.42,16.42,16.42
23,16.42,17.46,16.42,16.42,16.42
24,16.42,17.33,16.42,16.42,16.42
25,16.42,17.33,16.42,16.42,16.42
26,16.42,16.92,16.42,16.42,16.42
27,16.42,16.92,16.42,16.42,16.42
28,16.42,16.92,16.42,16.42,16.42
29,16.42,16.92,16.42,16.42,16.42
30,16.42,16.92,16.42,16.42,16.42
31,16.42,16.92,16.42,16.42,16.42
32,16.42,16.92,16.42,16.42,16.42
33,16.42,16.42,16.42,16.42,16.42
34,16.42,16.42,16.42,16.42,16.42
35,16.42,16.42,16.42,16.42,16.42
36,16.42,16.42,16.42,16.42,16.42
37,16.42,16.42,16.42,16.42,16.42
38,16.42,16.42,16.42,16.42,16.42
39,16.42,16.42,16.42,16.42,16.42
40,16.42,16.42,16.42,16.42,16.42
41,16.42,16.42,16.42,16.42,16.42
42,16.42,16.42,16.42,16.42,16.42
43,16.42,16.42,16.42,16.42,16.42
44,16.42,16.42,16.42,16.42,16.42
45,16.42,16.42,16.42,16.42,16.42
46,16.42,16.42,16.42,16.42,16.42
47,16.42,16.42,16.42,16.42,16.42
48,16.42,16.42,16.42,16.42,16.42
49,16.42,16.42,16.42,16.42,16.42
50,16.42,16.42,16.42,16.42,16.42
51,16.42,16.42,16.42,16.42,16.42
52,16.42,16.42,16.42,16.42,16.42
53,16.42,16.42,16.42,16.42,16.42
54,16.42,16.42,16.42,16.42,16.42
55,16.42,16.42,16.42,16.42,16.42
56,16.42,16.42,16.42,16.42,16.42
57,16.42,16.42,16.42,16.42,16.42
58,16.42,16.42,16.42,16.42,16.42
59,16.42,16.42,16.42,16.42,16.42
60,16.42,16.42,16.42,16.42,16.42
61,16.42,16.42,16.42,16.42,16.42
62,16.42,16.42,16.42,16.42,16.42
63,16.42,16.42,16.42,16.42,16.42
64,16.42,16.42,16.42,16.42,16.42
65,16.42,16.42,16.42,16.42,16.42
66,16.42,16.42,16.42,16.42,16.42
67,16.42,16.42,16.42,16.42,16.42
68,16.42,16.42,16.42,16.42,16.42
69,16.42,16.42,16.42,16.42,16.42
70,16.42,16.42,16.42,16.42,16.42
71,16.42,16.42,16.42,16.42,16.42
72,16.42,16.42,16.42,16.42,16.42
73,16.42,16.42,16.42,16.42,16.42
74,16.42,16.42,16.42,16.42,16.42
75,16.42,16.42,16.42,16.42,16.42
