iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3,tpd_particle_4,tpd_particle_5,tpd_particle_6,tpd_particle_7,tpd_particle_8,tpd_particle_9,tpd_particle_10
1,22.87,27.59,22.14,22.06,26.95,24.44,25.79,22.65,18.77,23.72
2,23.64,24.54,22.75,21.26,23.75,23.74,21.18,20.33,18.77,22.6
3,23.59,25.74,20.6,22.45,25.74,21.35,18.58,25.95,23.9,23.9
4,23.73,22.86,20.6,21.63,22.95,26.66,18.58,24.54,25.45,21.25
5,20.68,22.86,20.6,22.77,25.37,24.67,18.58,25.57,31.33,26.66
6,26.09,20.59,20.53,22.7,25.37,20.59,18.58,20.8,20.0,20.51
7,23.64,20.7,20.7,22.92,25.37,22.84,18.58,20.8,19.83,20.53
8,25.37,20.53,24.35,20.89,20.55,20.52,18.58,20.6,20.33,20.53
9,20.7,20.53,20.53,20.8,19.83,20.75,18.58,20.7,22.28,20.53
10,20.53,20.53,18.58,20.8,20.6,22.75,18.58,20.53,22.28,20.53
11,20.53,20.53,18.58,20.53,20.53,22.05,18.58,20.53,22.28,20.53
12,20.53,20.53,18.58,20.53,20.53,22.75,18.58,20.53,19.83,20.53
13,20.53,20.53,18.58,24.35,20.53,26.49,18.58,20.6,22.28,20.53
14,20.53,20.53,18.58,20.53,20.53,20.59,18.58,20.7,19.83,20.53
15,20.53,20.53,18.58,20.53,20.53,22.7,18.58,20.7,22.28,20.53
16,20.53,20.53,18.58,20.53,20.53,27.59,18.58,20.6,22.35,20.53
17,20.53,20.53,18.58,20.53,20.53,27.9,18.58,20.6,22.28,20.53
18,20.53,20.53,18.58,18.58,20.53,24.33,18.58,20.53,20.53,20.53
19,20.53,20.53,18.58,18.58,20.53,22.77,18.58,20.53,20.53,18.58
20,20.53,20.53,18.58,18.58,20.53,27.54,18.58,20.7,20.53,18.58
21,20.53,20.53,18.58,18.58,20.53,20.68,18.58,20.53,19.83,18.58
22,20.53,20.53,18.58,18.58,20.53,22.7,18.58,20.53,22.28,18.58
23,20.53,20.53,18.58,18.58,20.53,22.77,18.58,20.53,19.83,18.58
24,20.53,20.53,18.58,18.58,20.53,26.56,18.58,20.53,19.83,18.58
25,20.53,20.53,18.58,18.58,20.53,24.33,18.58,20.53,19.83,18.58
26,20.53,20.53,18.58,18.58,20.53,26.51,18.58,20.53,20.0,18.58
27,20.53,20.53,18.58,18.58,20.53,22.28,18.58,20.53,22.27,18.58
28,20.53,20.53,18.58,18.58,20.53,22.77,18.58,20.53,19.81,18.58
29,20.53,20.53,18.58,18.58,20.53,20.75,18.58,20.53,17.88,20.53
30,20.53,20.53,20.53,17.88,20.53,20.6,17.88,20.53,17.88,19.83
31,17.88,20.53,19.83,17.88,20.53,27.66,17.88,20.53,17.88,19.83
32,17.88,19.83,19.83,17.88,19.83,22.75,17.88,19.83,17.88,17.88
33,17.88,19.83,17.88,17.88,19.83,26.56,17.88,19.83,17.88,17.88
34,17.88,19.83,17.88,17.88,19.83,25.28,17.88,17.88,17.88,17.88
35,17.88,19.83,17.88,17.88,19.83,22.77,17.88,17.88,17.88,17.88
36,17.88,19.83,17.88,17.88,19.83,25.28,17.88,19.83,17.88,17.88
37,17.88,19.83,17.88,17.88,19.83,31.33,17.88,17.88,17.88,17.88
38,17.88,19.83,17.88,17.88,19.83,27.68,17.88,17.88,17.88,17.88
39,17.88,19.83,17.88,17.88,19.83,22.7,17.88,17.88,17.88,17.88
40,17.88,19.83,17.88,17.88,19.83,25.74,17.88,17.88,17.88,17.88
41,17.88,17.88,17.88,17.88,19.83,27.54,17.88,17.88,17.88,17.88
42,17.88,17.88,17.88,17.88,17.88,26.51,17.88,17.88,17.88,17.88
43,17.88,17.88,17.88,17.88,17.88,31.33,17.88,17.88,17.88,17.88
44,17.88,17.88,17.88,17.88,17.88,27.92,17.88,17.88,17.88,17.88
45,17.88,17.88,17.88,17.88,17.88,22.75,17.88,17.88,17.88,17.88
46,17.88,17.88,17.88,17.88,17.88,27.92,17.88,17.88,17.88,17.88
47,17.88,17.88,17.88,17.88,17.88,24.33,17.88,17.88,17.88,17.88
48,17.88,17.88,17.88,17.88,17.88,22.77,17.88,17.88,17.88,17.88
49,17.88,17.88,17.88,17.88,17.88,21.99,17.88,17.88,17.88,17.88
50,17.88,17.88,17.88,17.88,17.88,22.28,17.88,17.88,17.88,17.88
51,17.88,17.88,17.88,17.88,17.88,25.37,17.88,17.88,17.88,17.88
52,17.88,17.88,17.88,17.88,17.88,19.85,17.88,17.88,17.88,17.88
53,17.88,17.88,17.88,17.88,17.88,19.9,17.88,17.88,17.88,17.88
54,17.88,17.88,17.88,17.88,17.88,19.83,17.88,17.88,17.88,17.88
55,17.88,17.88,17.88,17.88,17.88,19.83,17.88,17.88,17.88,17.88
56,17.88,17.88,17.88,17.88,17.88,25.05,17.88,17.88,17.88,17.88
57,17.88,17.88,17.88,17.88,17.88,18.81,17.88,17.88,17.88,17.88
58,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
59,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
60,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
61,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
62,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
63,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
64,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
65,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
66,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
67,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
68,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
69,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
70,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
71,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
72,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
73,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
74,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
75,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
76,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
77,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
78,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
79,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
80,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
81,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
82,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
83,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
84,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
85,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
86,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
87,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
89,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
90,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
91,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
92,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
93,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
94,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
95,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
96,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
97,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
98,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
99,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
100,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
101,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
102,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
103,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
104,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
105,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
106,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
107,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
108,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
109,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
110,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
111,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
112,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
113,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
114,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
115,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
116,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
117,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
118,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
119,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
120,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
121,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
122,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
123,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
124,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
125,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
126,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
127,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
128,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
129,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
130,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
131,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
132,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
133,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
134,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
135,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
136,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
137,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
138,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
139,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
140,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
141,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
142,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
143,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
144,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
145,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
146,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
147,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
148,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
149,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
150,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
151,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
152,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
153,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
154,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
155,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
156,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
157,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
158,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
159,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
160,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
161,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
162,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
163,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
164,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
165,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
166,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
167,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
168,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
169,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
170,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
171,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
172,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
173,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
174,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
175,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
176,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
177,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
178,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
179,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88,17.88
