iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness,particle_6_fitness,particle_7_fitness,particle_8_fitness,particle_9_fitness,particle_10_fitness
1,-290.58,-140.9,-177.91,-71.9,-125.81,-72.83,-158.53,-207.19,-61.47,-284.08
2,-46.87,-121.03,-123.69,-111.59,-213.88,-207.39,-238.99,-147.06,-140.14,-180.52
3,-165.3,-131.37,-150.01,-124.42,-117.1,-115.91,-123.57,-138.12,-205.92,-224.61
4,-165.3,-118.48,-129.8,-211.11,-119.6,-112.04,-114.74,-136.33,-146.67,-132.19
5,-74.06,-126.35,-215.6,-220.82,-214.02,-202.42,-128.02,-120.73,-151.67,-149.6
6,-69.24,-219.78,-133.16,-117.65,-207.33,-109.5,-170.26,-130.44,-206.96,-133.29
7,-74.06,-119.82,-126.4,-137.77,-140.33,-124.4,-153.82,-235.59,-204.22,-240.48
8,-74.06,-144.34,-135.91,-206.42,-209.66,-150.6,-65.84,-109.06,-230.34,-131.86
9,-74.06,-202.73,-117.35,-147.53,-208.11,-127.79,-78.37,-71.75,-116.05,-235.37
10,-74.06,-123.97,-128.68,-203.9,-229.31,-150.49,-147.17,-69.17,-131.05,-228.38
11,-74.06,-128.38,-118.0,-207.5,-227.24,-125.69,-81.23,-72.6,-127.59,-69.86
12,-74.06,-128.38,-69.24,-135.87,-132.15,-119.61,-76.58,-73.71,-118.37,-74.06
13,-74.06,-136.72,-70.2,-219.01,-132.07,-128.24,-74.06,-73.71,-120.81,-74.06
14,-74.06,-131.76,-70.2,-148.18,-166.04,-147.5,-74.06,-73.71,-123.51,-74.06
15,-74.06,-114.72,-70.2,-137.3,-221.02,-115.0,-78.38,-73.71,-148.17,-74.06
16,-74.06,-70.97,-70.2,-115.79,-154.41,-135.42,-76.58,-74.06,-121.88,-73.71
17,-74.06,-74.06,-70.2,-239.23,-139.31,-132.43,-74.06,-74.06,-207.95,-73.71
18,-74.06,-74.06,-70.2,-130.31,-225.53,-130.98,-78.38,-74.06,-218.86,-73.71
19,-74.06,-74.06,-74.06,-148.97,-137.87,-221.03,-78.38,-74.06,-115.67,-73.71
20,-74.06,-74.06,-74.06,-124.06,-130.43,-145.39,-74.06,-74.06,-208.71,-74.06
21,-74.06,-74.06,-74.06,-227.32,-144.87,-126.81,-77.78,-74.06,-141.19,-74.06
22,-74.06,-74.06,-74.06,-126.65,-136.9,-111.29,-74.06,-74.06,-128.38,-73.71
23,-74.06,-74.06,-74.06,-210.67,-127.12,-141.03,-74.06,-74.06,-127.81,-74.06
24,-74.06,-74.06,-74.06,-139.45,-128.06,-119.66,-77.78,-74.06,-117.51,-74.06
25,-74.06,-74.06,-74.06,-208.24,-228.34,-223.69,-74.06,-74.06,-123.09,-74.06
26,-74.06,-74.06,-74.06,-134.64,-209.66,-136.03,-76.58,-74.06,-133.06,-73.71
27,-74.06,-74.06,-74.06,-210.23,-224.56,-205.4,-78.38,-74.06,-127.24,-73.71
28,-74.06,-74.06,-74.06,-115.03,-132.07,-209.06,-72.95,-74.06,-125.77,-73.71
29,-74.06,-74.06,-74.06,-132.29,-126.15,-131.13,-69.24,-74.06,-123.29,-73.71
30,-74.06,-74.06,-74.06,-139.33,-129.44,-149.44,-69.24,-74.06,-128.43,-77.42
31,-74.06,-74.06,-74.06,-133.18,-140.04,-122.89,-77.78,-74.06,-125.77,-73.71
32,-74.06,-74.06,-74.06,-133.05,-131.84,-124.22,-77.78,-74.06,-134.03,-73.71
33,-74.06,-74.06,-74.06,-122.64,-131.05,-125.53,-77.78,-74.06,-144.06,-73.71
34,-74.06,-74.06,-74.06,-123.61,-135.35,-135.57,-77.78,-74.06,-128.99,-73.71
35,-74.06,-74.06,-74.06,-134.39,-132.6,-132.35,-74.06,-74.06,-117.55,-73.71
36,-74.06,-74.06,-74.06,-154.12,-210.46,-133.29,-77.78,-74.06,-143.23,-77.42
37,-74.06,-74.06,-74.06,-211.12,-136.67,-120.07,-74.06,-74.06,-124.47,-74.06
38,-74.06,-74.06,-74.06,-204.56,-141.09,-125.59,-77.78,-74.06,-170.9,-73.71
39,-74.06,-74.06,-74.06,-115.37,-133.22,-136.16,-78.38,-74.06,-207.92,-74.06
40,-74.06,-74.06,-74.06,-133.26,-126.69,-131.21,-78.38,-74.06,-131.44,-73.71
41,-74.06,-74.06,-74.06,-151.8,-165.43,-228.61,-77.78,-74.06,-207.26,-77.42
42,-74.06,-74.06,-74.06,-206.04,-131.73,-115.75,-72.95,-74.06,-227.47,-73.71
