iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness
1,-493.89,-541.98,-291.34,-249.75,-248.05
2,-187.42,-201.29,-321.69,-350.7,-305.94
3,-293.31,-196.72,-290.99,-295.15,-192.11
4,-294.38,-321.62,-313.89,-203.81,-311.7
5,-189.6,-392.21,-275.72,-185.11,-193.75
6,-211.63,-208.09,-215.57,-192.28,-330.15
7,-211.09,-212.05,-193.48,-316.73,-320.68
8,-193.49,-273.02,-190.7,-188.06,-199.07
9,-203.23,-200.37,-287.89,-185.11,-205.51
10,-195.06,-315.23,-192.03,-185.11,-332.13
11,-226.27,-346.65,-177.23,-192.46,-187.77
12,-202.17,-274.64,-186.15,-209.54,-189.31
13,-199.4,-201.47,-177.23,-192.33,-213.26
14,-310.11,-209.26,-177.23,-204.59,-176.57
15,-213.23,-328.04,-177.45,-195.85,-176.57
16,-217.69,-204.97,-187.51,-195.85,-176.57
17,-204.54,-197.88,-176.57,-185.18,-176.57
18,-204.54,-284.93,-176.57,-195.85,-176.57
19,-307.74,-217.57,-176.57,-185.18,-176.57
20,-196.74,-339.3,-176.57,-187.25,-176.57
21,-207.23,-336.44,-176.57,-187.25,-176.57
22,-206.3,-328.42,-176.57,-176.3,-176.3
23,-233.07,-194.02,-176.3,-176.3,-176.57
24,-222.42,-186.87,-176.3,-176.3,-176.57
25,-207.9,-193.53,-176.3,-176.3,-176.57
26,-225.3,-196.69,-176.3,-176.3,-176.3
27,-233.87,-176.57,-176.3,-176.3,-176.3
28,-201.49,-273.43,-176.3,-176.3,-176.3
29,-216.0,-176.57,-176.3,-176.3,-176.3
30,-310.47,-176.57,-176.3,-176.3,-176.3
31,-202.54,-176.57,-176.3,-176.3,-176.3
32,-301.37,-176.3,-176.3,-176.3,-176.3
33,-207.26,-176.3,-176.3,-176.3,-176.3
34,-232.51,-176.3,-176.3,-176.3,-176.3
35,-289.88,-176.3,-176.3,-176.3,-176.3
36,-325.51,-176.3,-176.3,-176.3,-176.3
37,-210.75,-176.3,-176.3,-176.3,-176.3
38,-202.28,-176.3,-176.3,-176.3,-176.3
