iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness,particle_6_fitness,particle_7_fitness,particle_8_fitness,particle_9_fitness,particle_10_fitness
1,-53.5,-62.5,-56.79,-55.0,-62.5,-53.5,-62.5,-62.5,-49.5,-52.5
2,-52.5,-67.5,-56.79,-60.0,-55.0,-51.79,-62.5,-52.5,-47.79,-47.5
3,-58.5,-62.5,-67.5,-67.5,-62.5,-57.5,-47.79,-60.0,-56.79,-55.0
4,-58.5,-57.5,-53.5,-48.5,-55.0,-67.5,-55.0,-57.5,-56.79,-52.5
5,-56.25,-51.0,-58.5,-57.5,-57.5,-57.5,-67.5,-56.25,-56.79,-52.5
6,-52.5,-51.79,-57.5,-57.5,-56.25,-49.29,-56.79,-56.25,-49.29,-47.5
7,-60.0,-58.5,-62.5,-52.5,-51.79,-57.5,-52.5,-52.5,-60.0,-47.5
8,-53.5,-52.5,-46.25,-56.25,-51.25,-48.5,-55.0,-56.79,-51.25,-51.25
9,-60.0,-52.5,-56.25,-51.0,-56.79,-67.5,-50.0,-50.0,-52.5,-62.5
10,-56.79,-60.0,-56.25,-56.79,-47.79,-52.5,-48.75,-51.79,-56.25,-47.5
11,-67.5,-56.79,-56.25,-56.79,-48.5,-51.0,-52.5,-47.79,-56.79,-60.0
12,-67.5,-57.5,-46.25,-48.75,-48.5,-52.5,-51.0,-56.25,-52.5,-49.29
13,-62.5,-56.79,-46.25,-56.25,-46.25,-57.5,-48.75,-47.25,-51.0,-47.25
14,-62.5,-56.79,-46.25,-56.25,-46.25,-52.5,-47.25,-47.25,-52.5,-47.25
15,-60.0,-56.79,-46.25,-56.25,-46.25,-52.5,-47.25,-48.75,-53.5,-46.25
16,-67.5,-56.79,-46.25,-56.25,-46.25,-52.5,-56.25,-46.25,-55.0,-46.25
17,-57.5,-46.25,-46.25,-56.25,-46.25,-52.5,-56.25,-46.25,-55.0,-46.25
18,-62.5,-46.25,-46.25,-56.25,-46.25,-52.5,-47.25,-46.25,-60.0,-46.25
19,-55.0,-46.25,-46.25,-56.25,-46.25,-52.5,-47.25,-46.25,-60.0,-46.25
20,-62.5,-46.25,-46.25,-56.25,-46.25,-50.0,-46.25,-46.25,-60.0,-46.25
21,-62.5,-46.25,-46.25,-56.25,-46.25,-50.0,-46.25,-46.25,-53.5,-46.25
22,-62.5,-46.25,-46.25,-47.25,-46.25,-46.25,-46.25,-46.25,-56.25,-46.25
23,-62.5,-46.25,-46.25,-48.75,-46.25,-46.25,-46.25,-46.25,-52.5,-46.25
24,-62.5,-46.25,-46.25,-56.25,-46.25,-46.25,-46.25,-46.25,-55.0,-46.25
25,-62.5,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-55.0,-46.25
26,-67.5,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-55.0,-46.25
27,-67.5,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-60.0,-46.25
28,-56.79,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-48.75,-46.25
29,-60.0,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-51.0,-46.25
30,-60.0,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-51.0,-46.25
31,-67.5,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-52.5,-46.25
32,-60.0,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-55.0,-46.25
33,-67.5,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-58.5,-46.25
34,-60.0,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-60.0,-46.25
35,-67.5,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-60.0,-46.25
36,-60.0,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-58.5,-46.25
37,-67.5,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-67.5,-46.25
38,-58.5,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-60.0,-46.25
39,-67.5,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-46.25,-67.5,-46.25
