iteration,swarm_best_fitness
1,-40.83
2,-40.83
3,-40.83
4,-40.83
5,-40.83
6,-40.83
7,-40.83
8,-40.83
9,-40.83
10,-40.83
11,-40.83
12,-40.83
13,-40.83
14,-40.83
15,-40.83
16,-40.83
17,-40.83
18,-40.83
19,-40.83
20,-40.83
21,-40.83
22,-40.83
23,-40.83
24,-40.83
25,-40.83
26,-40.83
27,-40.83
28,-40.83
29,-40.83
30,-40.83
31,-40.83
32,-40.83
33,-40.83
34,-40.83
35,-40.83
36,-40.83
37,-40.83
38,-40.83
39,-40.83
40,-40.83
41,-40.83
42,-40.83
43,-40.83
44,-40.83
45,-40.83
46,-40.83
47,-40.83
48,-40.83
49,-40.83
50,-40.83
51,-40.83
52,-40.83
53,-40.83
54,-40.83
55,-40.83
56,-40.83
57,-40.83
58,-40.83
59,-40.83
60,-40.83
61,-40.83
62,-40.83
63,-40.83
64,-40.83
65,-40.83
66,-40.83
67,-40.83
68,-40.83
69,-40.83
70,-40.83
71,-40.83
72,-40.83
73,-40.83
74,-40.83
75,-40.83
76,-40.83
77,-40.83
78,-40.83
79,-40.83
80,-40.83
81,-40.83
82,-40.83
83,-40.83
84,-40.83
85,-40.83
86,-40.83
87,-40.83
88,-40.83
89,-40.83
90,-40.83
91,-40.83
92,-40.83
93,-40.83
94,-40.83
95,-40.83
96,-40.83
97,-40.83
98,-40.83
99,-40.83
100,-40.83
