iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3,tpd_particle_4,tpd_particle_5,tpd_particle_6,tpd_particle_7,tpd_particle_8,tpd_particle_9,tpd_particle_10
1,52.5,67.5,56.79,60.0,55.0,51.79,62.5,52.5,47.79,47.5
2,58.5,62.5,67.5,67.5,62.5,57.5,47.79,60.0,56.79,55.0
3,58.5,57.5,53.5,48.5,55.0,67.5,55.0,57.5,56.79,52.5
4,56.25,51.0,58.5,57.5,57.5,57.5,67.5,56.25,56.79,52.5
5,52.5,51.79,57.5,57.5,56.25,49.29,56.79,56.25,49.29,47.5
6,60.0,58.5,62.5,52.5,51.79,57.5,52.5,52.5,60.0,47.5
7,53.5,52.5,46.25,56.25,51.25,48.5,55.0,56.79,51.25,51.25
8,60.0,52.5,56.25,51.0,56.79,67.5,50.0,50.0,52.5,62.5
9,56.79,60.0,56.25,56.79,47.79,52.5,48.75,51.79,56.25,47.5
10,67.5,56.79,56.25,56.79,48.5,51.0,52.5,47.79,56.79,60.0
11,67.5,57.5,46.25,48.75,48.5,52.5,51.0,56.25,52.5,49.29
12,62.5,56.79,46.25,56.25,46.25,57.5,48.75,47.25,51.0,47.25
13,62.5,56.79,46.25,56.25,46.25,52.5,47.25,47.25,52.5,47.25
14,60.0,56.79,46.25,56.25,46.25,52.5,47.25,48.75,53.5,46.25
15,67.5,56.79,46.25,56.25,46.25,52.5,56.25,46.25,55.0,46.25
16,57.5,46.25,46.25,56.25,46.25,52.5,56.25,46.25,55.0,46.25
17,62.5,46.25,46.25,56.25,46.25,52.5,47.25,46.25,60.0,46.25
18,55.0,46.25,46.25,56.25,46.25,52.5,47.25,46.25,60.0,46.25
19,62.5,46.25,46.25,56.25,46.25,50.0,46.25,46.25,60.0,46.25
20,62.5,46.25,46.25,56.25,46.25,50.0,46.25,46.25,53.5,46.25
21,62.5,46.25,46.25,47.25,46.25,46.25,46.25,46.25,56.25,46.25
22,62.5,46.25,46.25,48.75,46.25,46.25,46.25,46.25,52.5,46.25
23,62.5,46.25,46.25,56.25,46.25,46.25,46.25,46.25,55.0,46.25
24,62.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,55.0,46.25
25,67.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,55.0,46.25
26,67.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
27,56.79,46.25,46.25,46.25,46.25,46.25,46.25,46.25,48.75,46.25
28,60.0,46.25,46.25,46.25,46.25,46.25,46.25,46.25,51.0,46.25
29,60.0,46.25,46.25,46.25,46.25,46.25,46.25,46.25,51.0,46.25
30,67.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
31,60.0,46.25,46.25,46.25,46.25,46.25,46.25,46.25,55.0,46.25
32,67.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,58.5,46.25
33,60.0,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
34,67.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
35,60.0,46.25,46.25,46.25,46.25,46.25,46.25,46.25,58.5,46.25
36,67.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,67.5,46.25
37,58.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
38,67.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,67.5,46.25
39,56.79,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
40,55.0,46.25,46.25,46.25,46.25,46.25,46.25,46.25,67.5,46.25
41,52.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
42,60.0,46.25,46.25,46.25,46.25,46.25,46.25,46.25,53.5,46.25
43,60.0,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
44,67.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,62.5,46.25
45,67.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
46,67.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
47,60.0,46.25,46.25,46.25,46.25,46.25,46.25,46.25,51.0,46.25
48,67.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
49,67.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
50,67.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,55.0,46.25
51,62.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
52,67.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
53,57.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,67.5,46.25
54,62.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,55.0,46.25
55,60.0,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
56,56.79,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
57,52.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,56.25,46.25
58,57.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
59,62.5,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
60,60.0,46.25,46.25,46.25,46.25,46.25,46.25,46.25,55.0,46.25
61,55.0,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
62,48.75,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
63,48.75,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
64,48.75,46.25,46.25,46.25,46.25,46.25,46.25,46.25,57.5,46.25
65,47.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,50.0,46.25
66,56.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
67,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,51.0,46.25
68,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
69,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,55.0,46.25
70,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
71,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
72,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
73,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
74,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
75,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,55.0,46.25
76,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,62.5,46.25
77,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
78,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,62.5,46.25
79,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,62.5,46.25
80,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,55.0,46.25
81,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,53.5,46.25
82,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,55.0,46.25
83,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
84,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,51.0,46.25
85,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,51.0,46.25
86,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,48.75,46.25
87,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
88,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,55.0,46.25
89,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,55.0,46.25
90,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
91,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,62.5,46.25
92,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,48.75,46.25
93,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,48.75,46.25
94,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
95,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,52.5,46.25
96,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
97,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,53.5,46.25
98,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,55.0,46.25
99,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,60.0,46.25
100,46.25,46.25,46.25,46.25,46.25,46.25,46.25,46.25,67.5,46.25
