iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness,particle_4_fitness,particle_5_fitness
1,-45.83,-50.0,-48.12,-51.25,-42.5
2,-50.0,-49.17,-43.96,-48.12,-53.33
3,-53.33,-51.25,-51.25,-43.96,-47.08
4,-44.4,-50.0,-49.17,-50.0,-51.25
5,-49.17,-53.33,-53.33,-42.92,-41.67
6,-48.12,-43.96,-51.25,-49.17,-41.67
7,-43.75,-49.17,-48.12,-42.92,-41.67
8,-43.75,-53.33,-51.25,-45.0,-41.67
9,-53.33,-43.96,-50.0,-45.0,-41.67
10,-50.0,-42.92,-57.5,-45.0,-41.67
11,-45.83,-45.0,-43.75,-41.67,-41.67
12,-42.5,-49.17,-42.32,-41.67,-41.67
13,-41.67,-49.17,-42.5,-41.67,-41.67
14,-42.92,-41.67,-41.67,-41.67,-41.67
15,-41.67,-41.67,-41.67,-41.67,-41.67
16,-41.67,-41.67,-41.67,-41.67,-41.67
17,-41.67,-41.67,-41.67,-41.67,-41.67
18,-41.67,-41.67,-41.67,-41.67,-41.67
19,-41.67,-41.67,-41.67,-41.67,-41.67
20,-41.67,-41.67,-41.67,-41.67,-41.67
21,-41.67,-41.67,-41.67,-41.67,-41.67
22,-41.67,-41.67,-41.67,-41.67,-41.67
23,-41.67,-41.67,-41.67,-41.67,-41.67
24,-41.67,-41.67,-41.67,-41.67,-41.67
25,-41.67,-41.67,-41.67,-41.67,-41.67
26,-41.67,-41.67,-41.67,-41.67,-41.67
27,-41.67,-41.67,-41.67,-41.67,-41.67
28,-41.67,-41.67,-41.67,-41.67,-41.67
29,-41.67,-41.67,-41.67,-41.67,-41.67
30,-41.67,-41.67,-41.67,-41.67,-41.67
31,-41.67,-41.67,-41.67,-41.67,-41.67
32,-41.67,-41.67,-41.67,-41.67,-41.67
33,-41.67,-41.67,-41.67,-41.67,-41.67
34,-41.67,-41.67,-41.67,-41.67,-41.67
35,-41.67,-41.67,-41.67,-41.67,-41.67
36,-41.67,-41.67,-41.67,-41.67,-41.67
37,-41.67,-41.67,-41.67,-41.67,-41.67
38,-41.67,-41.67,-41.67,-41.67,-41.67
39,-41.67,-41.67,-41.67,-41.67,-41.67
40,-41.67,-41.67,-41.67,-41.67,-41.67
41,-41.67,-41.67,-41.67,-41.67,-41.67
42,-41.67,-41.67,-41.67,-41.67,-41.67
43,-41.67,-41.67,-41.67,-41.67,-41.67
44,-41.67,-41.67,-41.67,-41.67,-41.67
45,-41.67,-41.67,-41.67,-41.67,-41.67
46,-41.67,-41.67,-41.67,-41.67,-41.67
47,-41.67,-41.67,-41.67,-41.67,-41.67
48,-41.67,-41.67,-41.67,-41.67,-41.67
49,-41.67,-41.67,-41.67,-41.67,-41.67
50,-41.67,-41.67,-41.67,-41.67,-41.67
51,-41.67,-41.67,-41.67,-41.67,-41.67
52,-41.67,-41.67,-41.67,-41.67,-41.67
53,-41.67,-41.67,-41.67,-41.67,-41.67
54,-41.67,-41.67,-41.67,-41.67,-41.67
55,-41.67,-41.67,-41.67,-41.67,-41.67
56,-41.67,-41.67,-41.67,-41.67,-41.67
57,-41.67,-41.67,-41.67,-41.67,-41.67
58,-41.67,-41.67,-41.67,-41.67,-41.67
59,-41.67,-41.67,-41.67,-41.67,-41.67
60,-41.67,-41.67,-41.67,-41.67,-41.67
61,-41.67,-41.67,-41.67,-41.67,-41.67
62,-41.67,-41.67,-41.67,-41.67,-41.67
63,-41.67,-41.67,-41.67,-41.67,-41.67
64,-41.67,-41.67,-41.67,-41.67,-41.67
65,-41.67,-41.67,-41.67,-41.67,-41.67
66,-41.67,-41.67,-41.67,-41.67,-41.67
67,-41.67,-41.67,-41.67,-41.67,-41.67
68,-41.67,-41.67,-41.67,-41.67,-41.67
69,-41.67,-41.67,-41.67,-41.67,-41.67
70,-41.67,-41.67,-41.67,-41.67,-41.67
71,-41.67,-41.67,-41.67,-41.67,-41.67
72,-41.67,-41.67,-41.67,-41.67,-41.67
73,-41.67,-41.67,-41.67,-41.67,-41.67
74,-41.67,-41.67,-41.67,-41.67,-41.67
75,-41.67,-41.67,-41.67,-41.67,-41.67
76,-41.67,-41.67,-41.67,-41.67,-41.67
77,-41.67,-41.67,-41.67,-41.67,-41.67
78,-41.67,-41.67,-41.67,-41.67,-41.67
79,-41.67,-41.67,-41.67,-41.67,-41.67
80,-41.67,-41.67,-41.67,-41.67,-41.67
81,-41.67,-41.67,-41.67,-41.67,-41.67
82,-41.67,-41.67,-41.67,-41.67,-41.67
83,-41.67,-41.67,-41.67,-41.67,-41.67
84,-41.67,-41.67,-41.67,-41.67,-41.67
85,-41.67,-41.67,-41.67,-41.67,-41.67
86,-41.67,-41.67,-41.67,-41.67,-41.67
87,-41.67,-41.67,-41.67,-41.67,-41.67
88,-41.67,-41.67,-41.67,-41.67,-41.67
89,-41.67,-41.67,-41.67,-41.67,-41.67
90,-41.67,-41.67,-41.67,-41.67,-41.67
91,-41.67,-41.67,-41.67,-41.67,-41.67
92,-41.67,-41.67,-41.67,-41.67,-41.67
93,-41.67,-41.67,-41.67,-41.67,-41.67
94,-41.67,-41.67,-41.67,-41.67,-41.67
95,-41.67,-41.67,-41.67,-41.67,-41.67
96,-41.67,-41.67,-41.67,-41.67,-41.67
97,-41.67,-41.67,-41.67,-41.67,-41.67
98,-41.67,-41.67,-41.67,-41.67,-41.67
99,-41.67,-41.67,-41.67,-41.67,-41.67
100,-41.67,-41.67,-41.67,-41.67,-41.67
