iteration,swarm_best_fitness
1,-30.14
2,-30.14
3,-30.14
4,-30.14
5,-30.14
6,-30.14
7,-30.14
8,-30.14
9,-30.14
10,-30.14
11,-30.14
12,-28.33
13,-28.33
14,-28.33
15,-28.33
16,-28.33
17,-28.33
18,-28.33
19,-28.33
20,-28.33
21,-28.33
22,-28.33
23,-28.33
24,-28.33
25,-28.33
26,-28.33
27,-28.33
28,-28.33
29,-28.33
30,-28.33
31,-28.33
32,-28.33
33,-28.33
34,-28.33
35,-28.33
36,-28.33
37,-28.33
38,-28.33
39,-28.33
40,-28.33
41,-28.33
42,-28.33
43,-28.33
44,-28.33
45,-28.33
46,-28.33
47,-28.33
48,-28.33
49,-28.33
50,-28.33
51,-28.33
52,-28.33
53,-28.33
54,-28.33
55,-28.33
56,-28.33
57,-28.33
58,-28.33
59,-28.33
60,-28.33
61,-28.33
62,-28.33
63,-28.33
64,-28.33
65,-28.33
66,-28.33
67,-28.33
68,-28.33
69,-28.33
70,-28.33
71,-28.33
72,-28.33
73,-28.33
74,-28.33
75,-28.33
76,-28.33
77,-28.33
78,-28.33
79,-28.33
80,-28.33
81,-28.33
82,-28.33
83,-28.33
84,-28.33
85,-28.33
86,-28.33
87,-28.33
88,-28.33
89,-28.33
90,-28.33
91,-28.33
92,-28.33
93,-28.33
94,-28.33
95,-28.33
96,-28.33
97,-28.33
98,-28.33
99,-28.33
100,-28.33
101,-28.33
102,-28.33
103,-28.33
104,-28.33
105,-28.33
106,-28.33
107,-28.33
108,-28.33
109,-28.33
110,-28.33
111,-28.33
112,-28.33
113,-28.33
114,-28.33
115,-28.33
116,-28.33
117,-28.33
118,-28.33
119,-28.33
120,-28.33
121,-28.33
122,-28.33
123,-28.33
124,-28.33
125,-28.33
126,-28.33
127,-28.33
128,-28.33
129,-28.33
130,-28.33
131,-28.33
132,-28.33
133,-28.33
134,-28.33
135,-28.33
136,-28.33
137,-28.33
138,-28.33
139,-28.33
140,-28.33
141,-28.33
142,-28.33
143,-28.33
144,-28.33
145,-28.33
146,-28.33
147,-28.33
148,-28.33
149,-28.33
150,-28.33
