iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3,tpd_particle_4,tpd_particle_5
1,26.57,44.25,26.57,30.5,26.57
2,26.57,33.0,36.0,69.0,30.5
3,26.57,26.57,39.67,36.0,33.0
4,26.57,26.57,25.0,26.57,30.5
5,39.67,69.0,25.0,30.5,25.0
6,25.0,30.5,25.0,50.14,25.0
7,25.0,30.5,25.0,44.25,25.0
8,25.0,25.0,25.0,44.25,25.0
9,25.0,25.0,25.0,50.14,25.0
10,25.0,25.0,25.0,25.0,25.0
11,25.0,25.0,25.0,25.0,25.0
12,25.0,25.0,25.0,25.0,25.0
13,25.0,25.0,25.0,25.0,25.0
14,25.0,25.0,25.0,25.0,25.0
15,25.0,25.0,25.0,25.0,25.0
16,25.0,25.0,25.0,25.0,25.0
17,25.0,25.0,25.0,25.0,25.0
18,25.0,25.0,25.0,25.0,25.0
19,25.0,25.0,25.0,25.0,25.0
20,25.0,25.0,25.0,25.0,25.0
21,25.0,25.0,25.0,25.0,25.0
22,25.0,25.0,25.0,25.0,25.0
23,25.0,25.0,25.0,25.0,25.0
24,25.0,25.0,25.0,25.0,25.0
25,25.0,25.0,25.0,25.0,25.0
26,25.0,25.0,25.0,25.0,25.0
27,25.0,25.0,25.0,25.0,25.0
28,25.0,25.0,25.0,25.0,25.0
29,25.0,25.0,25.0,25.0,25.0
30,25.0,25.0,25.0,25.0,25.0
31,25.0,25.0,25.0,25.0,25.0
32,25.0,25.0,25.0,25.0,25.0
33,25.0,25.0,25.0,25.0,25.0
34,25.0,25.0,25.0,25.0,25.0
35,25.0,25.0,25.0,25.0,25.0
36,25.0,25.0,25.0,25.0,25.0
37,25.0,25.0,25.0,25.0,25.0
38,25.0,25.0,25.0,25.0,25.0
39,25.0,25.0,25.0,25.0,25.0
40,25.0,25.0,25.0,25.0,25.0
