iteration,tpd_particle_1,tpd_particle_2,tpd_particle_3
1,3.52,3.96,3.96
2,3.66,3.96,3.96
3,4.49,3.96,3.96
4,4.49,3.96,3.96
5,4.49,3.96,3.96
6,4.49,3.96,3.96
7,3.96,3.96,3.96
8,3.96,3.96,3.96
9,3.96,3.96,3.96
10,3.96,3.96,3.96
11,3.96,3.96,3.96
12,3.96,3.96,3.96
13,3.96,3.96,3.96
14,3.96,3.96,3.96
15,3.96,3.96,3.96
16,3.96,3.96,3.96
17,3.96,3.96,3.96
18,3.96,3.96,3.96
19,3.96,3.96,3.96
20,3.96,3.96,3.96
21,3.96,3.96,3.96
22,3.96,3.96,3.96
23,3.96,3.96,3.96
24,3.96,3.96,3.96
25,3.96,3.96,3.96
26,3.96,3.96,3.96
27,3.96,3.96,3.96
28,3.96,3.96,3.96
29,3.96,3.96,3.96
30,3.96,3.96,3.96
31,3.96,3.96,3.96
32,3.96,3.96,3.96
33,3.96,3.96,3.96
34,3.96,3.96,3.96
35,3.96,3.96,3.96
36,3.96,3.96,3.96
37,3.96,3.96,3.96
38,3.96,3.96,3.96
39,3.96,3.96,3.96
40,3.96,3.96,3.96
41,3.96,3.96,3.96
42,3.96,3.96,3.96
43,3.96,3.96,3.96
44,3.96,3.96,3.96
45,3.96,3.96,3.96
46,3.96,3.96,3.96
47,3.96,3.96,3.96
48,3.96,3.96,3.96
49,3.96,3.96,3.96
50,3.96,3.96,3.96
51,3.96,3.96,3.96
52,3.96,3.96,3.96
53,3.96,3.96,3.96
54,3.96,3.96,3.96
55,3.96,3.96,3.96
56,3.96,3.96,3.96
57,3.96,3.96,3.96
58,3.96,3.96,3.96
59,3.96,3.96,3.96
60,3.96,3.96,3.96
61,3.96,3.96,3.96
62,3.96,3.96,3.96
63,3.96,3.96,3.96
64,3.96,3.96,3.96
65,3.96,3.96,3.96
66,3.96,3.96,3.96
67,3.96,3.96,3.96
68,3.96,3.96,3.96
69,3.96,3.96,3.96
70,3.96,3.96,3.96
71,3.96,3.96,3.96
72,3.96,3.96,3.96
73,3.96,3.96,3.96
74,3.96,3.96,3.96
75,3.96,3.96,3.96
76,3.96,3.96,3.96
77,3.96,3.96,3.96
78,3.96,3.96,3.96
79,3.96,3.96,3.96
80,3.96,3.96,3.96
81,3.96,3.96,3.96
82,3.96,3.96,3.96
83,3.96,3.96,3.96
84,3.96,3.96,3.96
85,3.96,3.96,3.96
86,3.96,3.96,3.96
87,3.96,3.96,3.96
88,3.96,3.96,3.96
89,3.96,3.96,3.96
90,3.96,3.96,3.96
91,3.96,3.96,3.96
92,3.96,3.96,3.96
93,3.96,3.96,3.96
94,3.96,3.96,3.96
95,3.96,3.96,3.96
96,3.96,3.96,3.96
97,3.96,3.96,3.96
98,3.96,3.96,3.96
99,3.96,3.96,3.96
100,3.96,3.96,3.96
