iteration,particle_1_fitness,particle_2_fitness,particle_3_fitness
1,-14.93,-14.73,-16.82
2,-15.04,-15.01,-16.71
3,-15.0,-16.33,-13.43
4,-16.52,-15.86,-13.43
5,-15.68,-14.86,-13.43
6,-15.19,-13.82,-13.43
7,-13.82,-15.76,-13.43
8,-14.1,-13.67,-13.43
9,-16.0,-15.06,-13.43
10,-16.33,-13.43,-13.43
11,-16.56,-13.58,-13.43
12,-15.67,-13.76,-13.43
13,-14.65,-13.58,-13.43
14,-14.5,-13.58,-13.43
15,-14.5,-13.43,-13.43
16,-14.5,-13.43,-13.43
17,-15.17,-13.43,-13.43
18,-14.5,-13.43,-13.43
19,-14.5,-13.43,-13.43
20,-13.43,-13.43,-13.43
21,-13.43,-13.43,-13.43
22,-13.43,-13.43,-13.43
23,-13.43,-13.43,-13.43
24,-13.43,-13.43,-13.43
25,-13.43,-13.43,-13.43
26,-13.43,-13.43,-13.43
27,-13.43,-13.43,-13.43
28,-13.43,-13.43,-13.43
29,-13.43,-13.43,-13.43
30,-13.43,-13.43,-13.43
31,-13.43,-13.43,-13.43
32,-13.43,-13.43,-13.43
33,-13.43,-13.43,-13.43
34,-13.43,-13.43,-13.43
35,-13.43,-13.43,-13.43
36,-13.43,-13.43,-13.43
37,-13.43,-13.43,-13.43
38,-13.43,-13.43,-13.43
39,-13.43,-13.43,-13.43
40,-13.43,-13.43,-13.43
41,-13.43,-13.43,-13.43
42,-13.43,-13.43,-13.43
43,-13.43,-13.43,-13.43
44,-13.43,-13.43,-13.43
45,-13.43,-13.43,-13.43
46,-13.43,-13.43,-13.43
47,-13.43,-13.43,-13.43
48,-13.43,-13.43,-13.43
49,-13.43,-13.43,-13.43
50,-13.43,-13.43,-13.43
51,-13.43,-13.43,-13.43
52,-13.43,-13.43,-13.43
53,-13.43,-13.43,-13.43
54,-13.43,-13.43,-13.43
55,-13.43,-13.43,-13.43
56,-13.43,-13.43,-13.43
57,-13.43,-13.43,-13.43
58,-13.43,-13.43,-13.43
59,-13.43,-13.43,-13.43
60,-13.43,-13.43,-13.43
61,-13.43,-13.43,-13.43
62,-13.43,-13.43,-13.43
63,-13.43,-13.43,-13.43
64,-13.43,-13.43,-13.43
65,-13.43,-13.43,-13.43
66,-13.43,-13.43,-13.43
67,-13.43,-13.43,-13.43
68,-13.43,-13.43,-13.43
69,-13.43,-13.43,-13.43
70,-13.43,-13.43,-13.43
71,-13.43,-13.43,-13.43
72,-13.43,-13.43,-13.43
73,-13.43,-13.43,-13.43
74,-13.43,-13.43,-13.43
75,-13.43,-13.43,-13.43
76,-13.43,-13.43,-13.43
77,-13.43,-13.43,-13.43
78,-13.43,-13.43,-13.43
79,-13.43,-13.43,-13.43
80,-13.43,-13.43,-13.43
81,-13.43,-13.43,-13.43
82,-13.43,-13.43,-13.43
83,-13.43,-13.43,-13.43
84,-13.43,-13.43,-13.43
85,-13.43,-13.43,-13.43
86,-13.43,-13.43,-13.43
87,-13.43,-13.43,-13.43
88,-13.43,-13.43,-13.43
89,-13.43,-13.43,-13.43
90,-13.43,-13.43,-13.43
91,-13.43,-13.43,-13.43
92,-13.43,-13.43,-13.43
93,-13.43,-13.43,-13.43
94,-13.43,-13.43,-13.43
95,-13.43,-13.43,-13.43
96,-13.43,-13.43,-13.43
97,-13.43,-13.43,-13.43
98,-13.43,-13.43,-13.43
99,-13.43,-13.43,-13.43
100,-13.43,-13.43,-13.43
