Fitness : 0.1908 , 	Total Processing Delay : 5.7386 , 	Total Memory Score : 59.0000
Fitness : 0.2664 , 	Total Processing Delay : 6.0417 , 	Total Memory Score : 83.0000
Fitness : 0.3386 , 	Total Processing Delay : 6.8750 , 	Total Memory Score : 106.0000
Fitness : 0.3357 , 	Total Processing Delay : 6.3636 , 	Total Memory Score : 105.0000
Fitness : 0.4411 , 	Total Processing Delay : 5.0000 , 	Total Memory Score : 138.0000
Fitness : 0.2860 , 	Total Processing Delay : 5.2381 , 	Total Memory Score : 89.0000
Fitness : 0.3810 , 	Total Processing Delay : 5.0000 , 	Total Memory Score : 119.0000
Fitness : 0.4411 , 	Total Processing Delay : 5.0000 , 	Total Memory Score : 138.0000
Fitness : 0.3702 , 	Total Processing Delay : 6.8750 , 	Total Memory Score : 116.0000
Fitness : 0.2599 , 	Total Processing Delay : 6.3636 , 	Total Memory Score : 81.0000
Fitness : 0.4411 , 	Total Processing Delay : 5.0000 , 	Total Memory Score : 138.0000
Fitness : 0.3331 , 	Total Processing Delay : 5.6250 , 	Total Memory Score : 104.0000
Fitness : 0.4096 , 	Total Processing Delay : 4.9053 , 	Total Memory Score : 128.0000
Fitness : 0.4411 , 	Total Processing Delay : 5.0000 , 	Total Memory Score : 138.0000
Fitness : 0.3800 , 	Total Processing Delay : 6.2500 , 	Total Memory Score : 119.0000
Fitness : 0.4918 , 	Total Processing Delay : 4.8214 , 	Total Memory Score : 154.0000
Fitness : 0.4186 , 	Total Processing Delay : 5.4464 , 	Total Memory Score : 131.0000
Fitness : 0.2979 , 	Total Processing Delay : 6.2500 , 	Total Memory Score : 93.0000
Fitness : 0.4918 , 	Total Processing Delay : 4.8214 , 	Total Memory Score : 154.0000
Fitness : 0.4001 , 	Total Processing Delay : 4.9053 , 	Total Memory Score : 125.0000
Fitness : 0.3671 , 	Total Processing Delay : 6.6667 , 	Total Memory Score : 115.0000
Fitness : 0.4918 , 	Total Processing Delay : 4.8214 , 	Total Memory Score : 154.0000
Fitness : 0.4571 , 	Total Processing Delay : 4.7917 , 	Total Memory Score : 143.0000
Fitness : 0.3307 , 	Total Processing Delay : 4.8214 , 	Total Memory Score : 103.0000
Fitness : 0.4918 , 	Total Processing Delay : 4.8214 , 	Total Memory Score : 154.0000
Fitness : 0.3694 , 	Total Processing Delay : 4.1667 , 	Total Memory Score : 115.0000
Fitness : 0.3228 , 	Total Processing Delay : 6.8750 , 	Total Memory Score : 101.0000
Fitness : 0.4918 , 	Total Processing Delay : 4.8214 , 	Total Memory Score : 154.0000
Fitness : 0.4209 , 	Total Processing Delay : 6.6667 , 	Total Memory Score : 132.0000
Fitness : 0.3043 , 	Total Processing Delay : 6.1538 , 	Total Memory Score : 95.0000
Fitness : 0.4918 , 	Total Processing Delay : 4.8214 , 	Total Memory Score : 154.0000
Fitness : 0.2578 , 	Total Processing Delay : 5.0000 , 	Total Memory Score : 80.0000
Fitness : 0.3750 , 	Total Processing Delay : 4.7253 , 	Total Memory Score : 117.0000
Fitness : 0.4918 , 	Total Processing Delay : 4.8214 , 	Total Memory Score : 154.0000
Fitness : 0.3606 , 	Total Processing Delay : 3.7500 , 	Total Memory Score : 112.0000
Fitness : 0.4168 , 	Total Processing Delay : 4.1841 , 	Total Memory Score : 130.0000
Fitness : 0.4918 , 	Total Processing Delay : 4.8214 , 	Total Memory Score : 154.0000
Fitness : 0.3500 , 	Total Processing Delay : 4.4886 , 	Total Memory Score : 109.0000
Fitness : 0.5134 , 	Total Processing Delay : 5.4167 , 	Total Memory Score : 161.0000
Fitness : 0.5388 , 	Total Processing Delay : 5.2381 , 	Total Memory Score : 169.0000
Fitness : 0.4094 , 	Total Processing Delay : 5.1136 , 	Total Memory Score : 128.0000
Fitness : 0.4335 , 	Total Processing Delay : 6.6667 , 	Total Memory Score : 136.0000
Fitness : 0.5230 , 	Total Processing Delay : 5.2381 , 	Total Memory Score : 164.0000
Fitness : 0.3772 , 	Total Processing Delay : 5.7386 , 	Total Memory Score : 118.0000
Fitness : 0.5041 , 	Total Processing Delay : 5.2381 , 	Total Memory Score : 158.0000
Fitness : 0.5230 , 	Total Processing Delay : 5.2381 , 	Total Memory Score : 164.0000
Fitness : 0.4288 , 	Total Processing Delay : 4.6955 , 	Total Memory Score : 134.0000
Fitness : 0.5009 , 	Total Processing Delay : 5.2381 , 	Total Memory Score : 157.0000
Fitness : 0.5230 , 	Total Processing Delay : 5.2381 , 	Total Memory Score : 164.0000
Fitness : 0.3738 , 	Total Processing Delay : 3.4753 , 	Total Memory Score : 116.0000
Fitness : 0.4977 , 	Total Processing Delay : 5.2381 , 	Total Memory Score : 156.0000
Fitness : 0.5230 , 	Total Processing Delay : 5.2381 , 	Total Memory Score : 164.0000
Fitness : 0.3844 , 	Total Processing Delay : 4.7917 , 	Total Memory Score : 120.0000
Fitness : 0.4977 , 	Total Processing Delay : 5.2381 , 	Total Memory Score : 156.0000
Fitness : 0.5230 , 	Total Processing Delay : 5.2381 , 	Total Memory Score : 164.0000
Fitness : 0.3525 , 	Total Processing Delay : 5.1136 , 	Total Memory Score : 110.0000
Fitness : 0.4977 , 	Total Processing Delay : 5.2381 , 	Total Memory Score : 156.0000
Fitness : 0.5230 , 	Total Processing Delay : 5.2381 , 	Total Memory Score : 164.0000
Fitness : 0.4539 , 	Total Processing Delay : 4.8214 , 	Total Memory Score : 142.0000
